clip,session_date,rows,wet_pavement,marine_layer,glare,clear,unknown
2026_0419_090840_000183F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_091140_000185F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_091440_000187F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_091740_000189F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_092040_000191F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_092340_000193F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_092640_000195F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_092940_000197F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_093240_000199F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_093540_000201F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_093840_000203F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_094140_000205F_gps.csv,unknown,36,0,0,0,36,0
2026_0419_094440_000207F_gps.csv,unknown,7,0,0,0,7,0
